searchSttr;leg1_from;leg1_to;leg1_date;leg2_from;leg2_to;leg2_date;leg3_form;leg3_to;leg3_date;leg4_from;leg4_to;leg4_date;Price;time_in_leg1;time_in_leg2;time_in_leg3;Label;time_in_bue;time_in_mdz;time_in_scl
POA_AEP,EZE_2018-07-07*AEP,EZE_MDZ_2018-07-10*MDZ_SCL_2018-07-13*SCL_POA_2018-07-21;POA;AEP,EZE;07/07/18;AEP,EZE;MDZ;10/07/18;MDZ;SCL;13/07/18;SCL;POA;21/07/18;1.953;3;3;8;"AEP,EZE;MDZ;SCL";3;3;8
POA_AEP,EZE_2018-07-07*AEP,EZE_MDZ_2018-07-10*MDZ_SCL_2018-07-14*SCL_POA_2018-07-21;POA;SCL;07/07/18;SCL;AEP,EZE;10/07/18;AEP,EZE;MDZ;13/07/18;MDZ;POA;21/07/18;1.953;3;3;8;"SCL;AEP,EZE;MDZ";3;8;3
POA_AEP,EZE_2018-07-07*AEP,EZE_MDZ_2018-07-10*MDZ_SCL_2018-07-15*SCL_POA_2018-07-21;POA;AEP,EZE;07/07/18;AEP,EZE;MDZ;10/07/18;MDZ;SCL;14/07/18;SCL;POA;21/07/18;1.953;3;4;7;"AEP,EZE;MDZ;SCL";3;4;7
POA_AEP,EZE_2018-07-07*AEP,EZE_MDZ_2018-07-11*MDZ_SCL_2018-07-15*SCL_POA_2018-07-21;POA;AEP,EZE;07/07/18;AEP,EZE;MDZ;11/07/18;MDZ;SCL;14/07/18;SCL;POA;21/07/18;1.953;4;3;7;"AEP,EZE;MDZ;SCL";4;3;7
POA_AEP,EZE_2018-07-07*AEP,EZE_MDZ_2018-07-10*MDZ_SCL_2018-07-16*SCL_POA_2018-07-21;POA;AEP,EZE;07/07/18;AEP,EZE;MDZ;11/07/18;MDZ;SCL;15/07/18;SCL;POA;21/07/18;1.953;4;4;6;"AEP,EZE;MDZ;SCL";4;4;6
POA_AEP,EZE_2018-07-07*AEP,EZE_MDZ_2018-07-11*MDZ_SCL_2018-07-16*SCL_POA_2018-07-21;POA;AEP,EZE;07/07/18;AEP,EZE;SCL;12/07/18;SCL;MDZ;15/07/18;MDZ;POA;21/07/18;1.953;5;3;6;"AEP,EZE;SCL;MDZ";5;6;3
POA_AEP,EZE_2018-07-07*AEP,EZE_MDZ_2018-07-10*MDZ_SCL_2018-07-17*SCL_POA_2018-07-21;POA;AEP,EZE;07/07/18;AEP,EZE;SCL;12/07/18;SCL;MDZ;16/07/18;MDZ;POA;21/07/18;1.953;5;4;5;"AEP,EZE;SCL;MDZ";5;5;4
POA_AEP,EZE_2018-07-07*AEP,EZE_MDZ_2018-07-11*MDZ_SCL_2018-07-17*SCL_POA_2018-07-21;POA;AEP,EZE;07/07/18;AEP,EZE;SCL;13/07/18;SCL;MDZ;16/07/18;MDZ;POA;21/07/18;1.953;6;3;5;"AEP,EZE;SCL;MDZ";6;5;3
POA_AEP,EZE_2018-07-07*AEP,EZE_MDZ_2018-07-10*MDZ_SCL_2018-07-18*SCL_POA_2018-07-21;POA;AEP,EZE;07/07/18;AEP,EZE;SCL;13/07/18;SCL;MDZ;17/07/18;MDZ;POA;21/07/18;1.953;6;4;4;"AEP,EZE;SCL;MDZ";6;4;4
POA_AEP,EZE_2018-07-07*AEP,EZE_MDZ_2018-07-11*MDZ_SCL_2018-07-18*SCL_POA_2018-07-21;POA;AEP,EZE;07/07/18;AEP,EZE;SCL;14/07/18;SCL;MDZ;17/07/18;MDZ;POA;21/07/18;1.953;7;3;4;"AEP,EZE;SCL;MDZ";7;4;3
