@relation 'precos_after_analysis-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1,4,7,10'

@attribute leg1_to {'AEP,EZE',SCL,MDZ}
@attribute leg1_date DATE "dd/MM/yyyy"
@attribute leg2_to {MDZ,'AEP,EZE',SCL}
@attribute leg2_date DATE "dd/MM/yyyy"
@attribute leg3_to {SCL,MDZ,'AEP,EZE'}
@attribute leg3_date DATE "dd/MM/yyyy"
@attribute leg4_to {POA}
@attribute leg4_date  DATE "dd/MM/yyyy"
@attribute Price numeric
@attribute time_in_leg1 numeric
@attribute time_in_leg2 numeric
@attribute time_in_leg3 numeric
@attribute Label {'AEP,EZE;MDZ;SCL','SCL;AEP,EZE;MDZ','AEP,EZE;SCL;MDZ','SCL;MDZ;AEP,EZE','MDZ;AEP,EZE;SCL','MDZ;SCL;AEP,EZE'}
@attribute time_in_bue numeric
@attribute time_in_mdz numeric
@attribute time_in_scl numeric

@data
'AEP,EZE',07/07/18,MDZ,10/07/18,SCL,13/07/18,POA,21/07/18,1.953,3,3,8,'AEP,EZE;MDZ;SCL',3,3,8
SCL,07/07/18,'AEP,EZE',10/07/18,MDZ,13/07/18,POA,21/07/18,1.953,3,3,8,'SCL;AEP,EZE;MDZ',3,8,3
'AEP,EZE',07/07/18,MDZ,10/07/18,SCL,14/07/18,POA,21/07/18,1.953,3,4,7,'AEP,EZE;MDZ;SCL',3,4,7
'AEP,EZE',07/07/18,MDZ,11/07/18,SCL,14/07/18,POA,21/07/18,1.953,4,3,7,'AEP,EZE;MDZ;SCL',4,3,7
'AEP,EZE',07/07/18,MDZ,11/07/18,SCL,15/07/18,POA,21/07/18,1.953,4,4,6,'AEP,EZE;MDZ;SCL',4,4,6
'AEP,EZE',07/07/18,SCL,12/07/18,MDZ,15/07/18,POA,21/07/18,1.953,5,3,6,'AEP,EZE;SCL;MDZ',5,6,3
'AEP,EZE',07/07/18,SCL,12/07/18,MDZ,16/07/18,POA,21/07/18,1.953,5,4,5,'AEP,EZE;SCL;MDZ',5,5,4
'AEP,EZE',07/07/18,SCL,13/07/18,MDZ,16/07/18,POA,21/07/18,1.953,6,3,5,'AEP,EZE;SCL;MDZ',6,5,3
'AEP,EZE',07/07/18,SCL,13/07/18,MDZ,17/07/18,POA,21/07/18,1.953,6,4,4,'AEP,EZE;SCL;MDZ',6,4,4
'AEP,EZE',07/07/18,SCL,14/07/18,MDZ,17/07/18,POA,21/07/18,1.953,7,3,4,'AEP,EZE;SCL;MDZ',7,4,3
SCL,07/07/18,'AEP,EZE',10/07/18,MDZ,13/07/18,POA,21/07/18,1.953,3,3,8,'SCL;AEP,EZE;MDZ',3,8,3
SCL,07/07/18,MDZ,10/07/18,'AEP,EZE',15/07/18,POA,21/07/18,2.001,3,5,6,'SCL;MDZ;AEP,EZE',6,5,3
